회사명,종목코드,주요제품,홈페이지,sector,theme,계열사
부광약품,3000,"의약품,치약,의약부외품(부광탁스,레가론,부광안티프라그) 제조",http://www.bukwang.co.kr,제약,코로나19(진단/치료제/백신 개발 등),
풍산홀딩스,5810,"동판제,대,관,봉,선,소전,동파이프 제조,도매,무역",http://www.poongsan.co.kr,비철금속,비철금속,
부국증권,1270,"유가증권 매매,위탁매매,인수,주선",http://www.bookook.co.kr,증권,증권,
계양전기,12200,"전동공구(그라인더,드릴,커팅머신 등), 엔진, 자동차용 모터 제조",http://www.keyang.co.kr,자동차부품,자동차부품,
한솔테크닉스,4710,"백라이트유닛,인버터,폴리바리콘,모니터,통신장비 제조",http://www.hansoltechnics.com,디스플레이장비및부품,LCD BLU제조,
DB금융투자,16610,"유가증권,위탁매매,인수,자기매매",http://db-fi.com,증권,증권,DB
한미사이언스,8930,"항생제(세포탁심,세포트리악손),유산균정장제(메디락비타,메디락베베),위장관운동조절개선제(설프라이드),고혈압치료제(유니바스크),원료의약품,식품 제조,판매",http://www.hanmiscience.co.kr,제약,K-뉴딜지수,
삼진제약,5500,"의약품(게보린,세트라졸,염산나록손) 제조,판매,수출입,약초재배",http://www.samjinpharm.co.kr,제약,메르스 코로나 바이러스,
포스코,5490,"열연코일,냉연강판,후판,선재,스테인리스 제조",http://www.posco.co.kr,,,
범양건영,2410,"토목공사,주택건설,건축공사,난방공사,전기공사,포장공사",http://www.iby.co.kr,건설,건설 중소형,
파미셀,5690,"줄기세포치료제,화장품",http://www.pharmicell.com,화학,코로나19(진단키트),
동국제강,1230,"후판,철근,강판,형강,앵글,찬넬,평철 제조,판매",http://www.dongkuk.co.kr,철강,철강 주요종목,동국제강
대원전선,6340,"전선,통신케이블,무선통신장비,합성수지 제조,도매/부동산 매매,임대",http://www.daewoncable.co.kr,전기장비,전선,
이수화학,5950,"등유,알킬벤젠,윤활유,노말파라핀 제조,도매",http://www.isuchemical.co.kr,화학,코로나19(화이자),
삼성증권,16360,"유가증권의 매매,위탁매매,인수주선",http://www.samsungpop.com,증권,증권,삼성
삼영무역,2810,"화공약품, 안경렌즈",http://www.samyung.co.kr,화학,,
한양증권,1750,증권업,http://www.hygood.co.kr,증권,증권,
금호석유화학,11780,"합성고무 SBR(스티렌부타디엔러버),BR(폴리부타디엔러버),합성수지,BD,라텍스 제조,도소매",http://www.kkpc.com,,,
유안타증권,3470,"유가증권 매매,중개,대리,인수",http://www.yuantakorea.com,증권,증권,
제일파마홀딩스,2620,"의약품(타리비드,제일파프,노엘,푸라솔) 제조,도매",http://www.jeilpharm.co.kr,제약,코로나19(나파모스타트),
에이엔피,15260,"전자부품(인쇄회로기판),무정전 전원공급장치 제조",http://anpcb.co.kr,전자장비와기기,PCB(FPCB 등),
한창제지,9460,"마닐라판지,고급백판지(ALL PULP) 제조,판매,수출입",http://www.hcpaper.co.kr,포장재,제지,
넥센,5720,"자동차용 재생타이어튜브,솔리드타이어,고무부품,골프볼,와이어로프소재,특수강선,열처리도금선,건자재 제조,판매,수출입",http://www.nexencorp.co.kr,자동차부품,타이어,
삼성공조,6660,"자동차부품(라디에터,오일쿨러,인터쿨러) 제조,판매",http://www.samsungcc.co.kr,자동차부품,자동차부품,
세방전지,4490,"자동차용 및 산업용 축전지(연축전지) 제조,판매",http://www.gbattery.com,자동차부품,전력저장장치(ESS),
진원생명과학,11000,"의류용심지(인터론),가공직물(패브론) 제조,도소매",http://www.genels.com,생물공학,코로나19(진단/치료제/백신 개발 등),
참엔지니어링,9310,FPD Laser Repair 장비 등 (FPD 장비의 개발과 제조 및 판매),http://www.charmeng.com,디스플레이장비및부품,OLED(유기 발광 다이오드),
